epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,958.032,1.72621,1.2939,1.30498,0.57661,0.60809,0.60796,0.27597,1.8473,1.3193,1.42404,0.000478072,0.000478072,0.000478072
29,991.571,1.74072,1.30475,1.3135,0.54737,0.57387,0.55037,0.24718,1.90338,1.47779,1.4433,0.000476445,0.000476445,0.000476445
30,1024.79,1.7172,1.27143,1.30804,0.5953,0.59023,0.59064,0.25963,1.86341,1.37662,1.42963,0.000474762,0.000474762,0.000474762
31,1058.47,1.69491,1.24579,1.28722,0.50373,0.65038,0.55912,0.23536,2.03651,1.38626,1.53741,0.000473024,0.000473024,0.000473024
32,1091.44,1.70963,1.26789,1.29762,0.57456,0.55868,0.57212,0.25744,1.85511,1.41848,1.42083,0.000471232,0.000471232,0.000471232
33,1124.72,1.69559,1.24786,1.30426,0.57023,0.56334,0.5533,0.23154,2.01635,1.38826,1.52314,0.000469386,0.000469386,0.000469386
34,1158.22,1.67607,1.24837,1.29945,0.63137,0.594,0.63001,0.28342,1.85393,1.31915,1.4385,0.000467486,0.000467486,0.000467486
35,1196.51,1.68845,1.24343,1.27524,0.57772,0.58009,0.58129,0.25149,1.91763,1.38922,1.47653,0.000465534,0.000465534,0.000465534
36,1229.76,1.6838,1.22833,1.30199,0.58717,0.5972,0.57788,0.2293,2.06075,1.37601,1.54281,0.000463528,0.000463528,0.000463528
37,1262.77,1.69021,1.2163,1.30055,0.56578,0.60031,0.57363,0.25289,1.87183,1.40242,1.42751,0.000461471,0.000461471,0.000461471
38,1296.46,1.67493,1.21083,1.29422,0.55569,0.6112,0.57692,0.24649,1.95151,1.38347,1.48672,0.000459362,0.000459362,0.000459362
39,1329.39,1.65804,1.21601,1.26701,0.5875,0.62208,0.60653,0.26789,1.91841,1.31956,1.45321,0.000457202,0.000457202,0.000457202
40,1362.61,1.64914,1.19428,1.27779,0.57964,0.57902,0.57015,0.24114,1.9629,1.36017,1.4948,0.000454992,0.000454992,0.000454992
41,1396.57,1.64013,1.18069,1.26487,0.61487,0.59876,0.59614,0.25109,1.93023,1.33332,1.49825,0.000452732,0.000452732,0.000452732
42,1429.49,1.60905,1.14191,1.26156,0.55051,0.64,0.57967,0.24069,2.01284,1.3401,1.53743,0.000450422,0.000450422,0.000450422
43,1463.12,1.63712,1.1328,1.27265,0.58035,0.59565,0.61055,0.26679,1.94654,1.33368,1.47792,0.000448063,0.000448063,0.000448063
44,1496.29,1.62768,1.16608,1.27422,0.56627,0.56299,0.56814,0.25089,1.92483,1.43044,1.4695,0.000445657,0.000445657,0.000445657
45,1529.27,1.61036,1.12104,1.2597,0.58271,0.6233,0.60856,0.2716,1.89628,1.31921,1.45228,0.000443202,0.000443202,0.000443202
46,1562.82,1.61335,1.14183,1.25763,0.54931,0.60809,0.55997,0.22955,2.05009,1.39708,1.56321,0.0004407,0.0004407,0.0004407
47,1595.76,1.60549,1.129,1.2426,0.57887,0.55365,0.54593,0.23415,1.9889,1.41395,1.52079,0.000438152,0.000438152,0.000438152
48,1628.89,1.57426,1.09111,1.25019,0.58592,0.59876,0.58998,0.26441,1.91307,1.36428,1.45875,0.000435559,0.000435559,0.000435559
49,1662.29,1.58226,1.09064,1.23669,0.60524,0.58894,0.59475,0.25766,1.9691,1.35684,1.49785,0.00043292,0.00043292,0.00043292
50,1695.12,1.57632,1.07219,1.24682,0.59213,0.58631,0.57524,0.25217,1.96394,1.36946,1.51489,0.000430236,0.000430236,0.000430236
51,1728.39,1.56811,1.05906,1.2335,0.56593,0.59409,0.55939,0.23626,1.95673,1.39638,1.49693,0.000427509,0.000427509,0.000427509
52,1761.86,1.54765,1.07748,1.22921,0.59935,0.58629,0.56719,0.24059,1.99654,1.39448,1.51064,0.000424738,0.000424738,0.000424738
53,1794.78,1.55866,1.03415,1.22364,0.56474,0.60187,0.57886,0.25271,1.96128,1.36007,1.50809,0.000421925,0.000421925,0.000421925
54,1828.47,1.59314,1.0587,1.2365,0.57969,0.6112,0.60152,0.26783,1.95017,1.38608,1.51258,0.000419071,0.000419071,0.000419071
55,1861.39,1.53594,1.01209,1.21483,0.58652,0.61431,0.58726,0.24764,1.97994,1.34773,1.51768,0.000416175,0.000416175,0.000416175
56,1894.36,1.54368,1.02592,1.23256,0.58182,0.60498,0.57167,0.24132,2.00399,1.34357,1.53437,0.000413238,0.000413238,0.000413238
57,1927.93,1.55396,1.0292,1.22122,0.52729,0.58635,0.52025,0.21164,2.10369,1.44129,1.63394,0.000410262,0.000410262,0.000410262
58,1960.91,1.53512,1.02284,1.21776,0.57519,0.60342,0.57244,0.25737,1.97267,1.38331,1.52934,0.000407248,0.000407248,0.000407248
59,1993.87,1.52052,1.01399,1.21515,0.58943,0.56299,0.5709,0.24826,1.99063,1.41519,1.52861,0.000404194,0.000404194,0.000404194
60,2027.58,1.52419,0.99691,1.21104,0.57098,0.63764,0.60095,0.25575,1.98145,1.37063,1.52056,0.000401104,0.000401104,0.000401104
61,2060.66,1.51082,0.97243,1.1976,0.55593,0.65008,0.59542,0.25876,1.99745,1.37041,1.53871,0.000397977,0.000397977,0.000397977
62,2094.21,1.49764,0.97515,1.20973,0.60791,0.61275,0.60355,0.26129,1.96554,1.33477,1.52011,0.000394814,0.000394814,0.000394814
63,2127.55,1.48092,0.94889,1.19972,0.59309,0.62337,0.59037,0.25006,1.9952,1.38993,1.55213,0.000391616,0.000391616,0.000391616
64,2160.51,1.46279,0.93773,1.17962,0.6034,0.57076,0.58061,0.2511,2.04454,1.39331,1.57621,0.000388383,0.000388383,0.000388383
65,2194.51,1.4805,0.96783,1.21215,0.59886,0.58009,0.57942,0.23984,2.0343,1.3816,1.5619,0.000385117,0.000385117,0.000385117
66,2227.62,1.51586,0.97027,1.20852,0.61633,0.58942,0.57988,0.25888,1.9676,1.36562,1.53158,0.000381818,0.000381818,0.000381818
67,2260.63,1.48417,0.96165,1.19649,0.60712,0.58882,0.56958,0.23051,2.05479,1.38455,1.57576,0.000378488,0.000378488,0.000378488
68,2294.59,1.46835,0.94139,1.16841,0.59794,0.60342,0.57613,0.24453,2.00248,1.34081,1.53207,0.000375126,0.000375126,0.000375126
69,2327.7,1.427,0.90176,1.1766,0.59197,0.60964,0.58044,0.25036,2.03992,1.38646,1.59552,0.000371734,0.000371734,0.000371734
70,2361.25,1.42885,0.90772,1.1751,0.55857,0.56143,0.51892,0.22253,2.0777,1.42832,1.61469,0.000368313,0.000368313,0.000368313
71,2396.66,1.43746,0.90949,1.1713,0.59588,0.5381,0.54984,0.23266,2.05468,1.43356,1.57256,0.000364863,0.000364863,0.000364863
72,2430.03,1.44672,0.91433,1.18163,0.55548,0.5832,0.54923,0.23561,2.08564,1.44804,1.60298,0.000361385,0.000361385,0.000361385
73,2463.4,1.43774,0.90816,1.1644,0.54991,0.63464,0.57586,0.23804,2.05847,1.36743,1.59452,0.00035788,0.00035788,0.00035788
74,2496.31,1.41535,0.89435,1.1603,0.65142,0.5661,0.57815,0.24487,2.04594,1.38731,1.60507,0.00035435,0.00035435,0.00035435
75,2529.69,1.42488,0.89561,1.16947,0.60058,0.55988,0.56389,0.2394,2.01973,1.39836,1.5687,0.000350794,0.000350794,0.000350794
76,2563.69,1.4334,0.89584,1.17054,0.58768,0.57543,0.56409,0.25088,1.97503,1.41008,1.53786,0.000347214,0.000347214,0.000347214
77,2596.75,1.4498,0.92157,1.17867,0.6006,0.58165,0.56757,0.25346,1.99438,1.42242,1.56614,0.000343611,0.000343611,0.000343611
78,2630.46,1.40695,0.89436,1.16042,0.57851,0.58476,0.5581,0.23731,2.01954,1.41272,1.56664,0.000339985,0.000339985,0.000339985
79,2663.34,1.37785,0.86707,1.13839,0.6034,0.58631,0.56978,0.24613,2.03184,1.41215,1.58897,0.000336338,0.000336338,0.000336338
80,2696.3,1.38495,0.85439,1.15,0.5905,0.54719,0.54016,0.23206,2.05559,1.4594,1.6056,0.00033267,0.00033267,0.00033267
81,2730.74,1.3762,0.84968,1.14245,0.59179,0.60809,0.56828,0.2448,2.02417,1.41928,1.59191,0.000328982,0.000328982,0.000328982
82,2763.78,1.39246,0.86573,1.15973,0.58115,0.57543,0.53504,0.22082,2.09887,1.41162,1.63215,0.000325275,0.000325275,0.000325275
83,2797.27,1.37512,0.84987,1.14331,0.55567,0.60097,0.54558,0.2291,2.1324,1.44109,1.68967,0.00032155,0.00032155,0.00032155
84,2830.78,1.3814,0.85121,1.14666,0.61644,0.60237,0.57994,0.23961,2.06529,1.37535,1.60551,0.000317809,0.000317809,0.000317809
